# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# temperature_sample_count=1801
# turning_point_count=415
# minimum_tj_c=60.000000000
# maximum_tj_c=71.169736846
# equivalent_full_cycles=207.000000000
# maximum_delta_tj_c=11.169736846
# weighted_mean_delta_tj_c=1.541530441
# maximum_cycle_duration_s=362.000000000
# weighted_mean_cycle_duration_s=12.466183575
cycle_index,delta_tj_c,mean_tj_c,count,minimum_tj_c,maximum_tj_c,start_time_s,end_time_s,duration_s
159,1.171128712,61.045394178,1.0,60.459829821,61.630958534,1272.000000000,1280.000000000,8.000000000
160,0.077284876,60.466805587,1.0,60.428163149,60.505448025,1289.000000000,1290.000000000,1.000000000
161,0.089536921,61.569911070,1.0,61.525142609,61.614679530,1300.000000000,1301.000000000,1.000000000
162,1.425434262,60.922907418,1.0,60.210190287,61.635624549,1294.000000000,1303.000000000,9.000000000
163,1.686258641,61.041030162,1.0,60.197900842,61.884159483,1265.000000000,1317.000000000,52.000000000
164,1.517072670,61.438179726,1.0,60.679643391,62.196716061,1335.000000000,1344.000000000,9.000000000
165,1.314299805,61.005985009,1.0,60.348835106,61.663134911,1360.000000000,1362.000000000,2.000000000
166,0.755014353,60.698026334,1.0,60.320519158,61.075533511,1367.000000000,1369.000000000,2.000000000
167,0.391947155,60.485594615,1.0,60.289621037,60.681568192,1371.000000000,1372.000000000,1.000000000
168,2.349177524,61.451046056,1.0,60.276457294,62.625634818,1350.000000000,1365.000000000,15.000000000
169,3.474695520,61.975793373,1.0,60.238445613,63.713141132,1374.000000000,1378.000000000,4.000000000
170,1.797808143,62.195375067,1.0,61.296470996,63.094279138,1384.000000000,1386.000000000,2.000000000
171,4.677902680,62.540039973,1.0,60.201088634,64.878991313,1324.000000000,1382.000000000,58.000000000
172,0.256736780,60.298505650,1.0,60.170137261,60.426874040,1408.000000000,1409.000000000,1.000000000
173,2.759131717,61.514348628,1.0,60.134782769,62.893914487,1396.000000000,1405.000000000,9.000000000
174,0.863543311,60.918032059,1.0,60.486260404,61.349803715,1420.000000000,1422.000000000,2.000000000
175,1.973763412,61.450922765,1.0,60.464041059,62.437804471,1430.000000000,1433.000000000,3.000000000
176,3.293249446,61.720907796,1.0,60.074283073,63.367532519,1424.000000000,1427.000000000,3.000000000
177,0.693156893,60.404263615,1.0,60.057685169,60.750842062,1436.000000000,1438.000000000,2.000000000
178,0.137611287,60.185368300,1.0,60.116562656,60.254173943,1443.000000000,1445.000000000,2.000000000
179,0.246437739,60.199560843,1.0,60.076341973,60.322779712,1442.000000000,1446.000000000,4.000000000
180,0.723632419,60.415006713,1.0,60.053190504,60.776822922,1440.000000000,1448.000000000,8.000000000
181,3.849251646,61.951777430,1.0,60.027151607,63.876403253,1412.000000000,1417.000000000,5.000000000
182,5.941925508,62.982415726,1.0,60.011452972,65.953378480,1249.000000000,1390.000000000,141.000000000
183,9.106705840,64.553352920,0.5,60.000000000,69.106705840,1026.000000000,1160.000000000,134.000000000
184,0.023490616,61.485360379,1.0,61.473615071,61.497105687,1503.000000000,1504.000000000,1.000000000
185,2.460378237,62.554001286,1.0,61.323812167,63.784190404,1494.000000000,1506.000000000,12.000000000
186,1.647603163,60.986127279,1.0,60.162325698,61.809928861,1524.000000000,1527.000000000,3.000000000
187,5.514297268,62.873198501,1.0,60.116049867,65.630347135,1514.000000000,1532.000000000,18.000000000
188,9.106705840,64.553352920,0.5,60.000000000,69.106705840,1160.000000000,1478.000000000,318.000000000
189,7.458044005,66.621114109,1.0,62.892092107,70.350136112,1548.000000000,1567.000000000,19.000000000
190,2.186072404,61.148359359,1.0,60.055323157,62.241395561,1587.000000000,1594.000000000,7.000000000
191,0.075224854,60.074963004,1.0,60.037350577,60.112575431,1601.000000000,1602.000000000,1.000000000
192,1.163831179,60.954058680,1.0,60.372143091,61.535974270,1627.000000000,1630.000000000,3.000000000
193,1.202753890,61.662773476,1.0,61.061396531,62.264150421,1636.000000000,1640.000000000,4.000000000
194,7.443741734,64.051826338,1.0,60.329955471,67.773697205,1618.000000000,1632.000000000,14.000000000
195,0.129231715,66.829382805,1.0,66.764766948,66.893998663,1660.000000000,1661.000000000,1.000000000
196,0.533512407,66.682714633,1.0,66.415958430,66.949470837,1655.000000000,1663.000000000,8.000000000
197,0.000972657,64.361591896,1.0,64.361105568,64.362078224,1672.000000000,1673.000000000,1.000000000
198,0.048958686,64.498853129,1.0,64.474373786,64.523332472,1691.000000000,1697.000000000,6.000000000
199,0.009671844,63.153280939,1.0,63.148445017,63.158116862,1705.000000000,1706.000000000,1.000000000
200,0.001358893,63.519692257,1.0,63.519012811,63.520371703,1708.000000000,1709.000000000,1.000000000
201,2.756370884,64.361342674,1.0,62.983157232,65.739528116,1687.000000000,1704.000000000,17.000000000
