# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# peak_phase_current_a=186.280351680
# peak_total_loss_w=434.887844423
# peak_unserved_power_w=0.000000000
# loss_energy_wh=31.110648371
time_s,dc_power_requested_w,dc_power_served_w,unserved_power_w,phase_current_rms_a,phase_current_peak_a,device_current_rms_a,device_current_peak_a,junction_temperature_c,rds_on_device_ohm,conduction_loss_w,switching_loss_w,total_loss_w
135.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
136.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
137.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
138.000000,40.708870,40.708870,0.000000,0.106894,0.151171,0.106894,0.151171,25.000000,0.002600000,0.000089,0.243097,0.243186
139.000000,980.371884,980.371884,0.000000,2.574273,3.640572,2.574273,3.640572,25.000000,0.002600000,0.051690,5.854384,5.906074
140.000000,5007.120112,5007.120112,0.000000,13.147762,18.593743,13.147762,18.593743,25.000000,0.002600000,1.348336,29.900495,31.248831
141.000000,10069.412631,10069.412631,0.000000,26.440396,37.392366,26.440396,37.392366,25.000000,0.002600000,5.452937,60.130457,65.583394
142.000000,10159.736907,10159.736907,0.000000,26.677570,37.727782,26.677570,37.727782,25.000000,0.002600000,5.551203,60.669837,66.221040
143.000000,6259.117506,6259.117506,0.000000,16.435273,23.242986,16.435273,23.242986,25.000000,0.002600000,2.106922,37.376917,39.483838
144.000000,4109.220901,4109.220901,0.000000,10.790046,15.259429,10.790046,15.259429,25.000000,0.002600000,0.908116,24.538604,25.446720
145.000000,5925.293867,5925.293867,0.000000,15.558714,22.003345,15.558714,22.003345,25.000000,0.002600000,1.888174,35.383457,37.271631
146.000000,9537.135626,9537.135626,0.000000,25.042736,35.415776,25.042736,35.415776,25.000000,0.002600000,4.891681,56.951914,61.843595
147.000000,11243.560685,11243.560685,0.000000,29.523489,41.752518,29.523489,41.752518,25.000000,0.002600000,6.798764,67.141994,73.940758
148.000000,9907.059138,9907.059138,0.000000,26.014086,36.789473,26.014086,36.789473,25.000000,0.002600000,5.278515,59.160948,64.439462
149.000000,6585.043389,6585.043389,0.000000,17.291093,24.453298,17.291093,24.453298,25.000000,0.002600000,2.332059,39.323214,41.655273
150.000000,2305.985555,2305.985555,0.000000,6.055087,8.563186,6.055087,8.563186,25.000000,0.002600000,0.285980,13.770412,14.056392
151.000000,-2563.293771,-2563.293771,0.000000,6.730730,9.518690,6.730730,9.518690,25.000000,0.002600000,0.353361,15.306953,15.660314
152.000000,-7885.371442,-7885.371442,-0.000000,20.705512,29.282015,20.705512,29.282015,25.000000,0.002600000,3.344002,47.088247,50.432249
153.000000,-9947.548600,-9947.548600,0.000000,26.120403,36.939829,26.120403,36.939829,25.000000,0.002600000,5.321749,59.402734,64.724483
154.000000,-7131.920416,-7131.920416,-0.000000,18.727090,26.484105,18.727090,26.484105,25.000000,0.002600000,2.735490,42.588942,45.324433
155.000000,-2929.889786,-2929.889786,0.000000,7.693343,10.880030,7.693343,10.880030,25.000000,0.002600000,0.461663,17.496116,17.957779
156.000000,18.567375,18.567375,0.000000,0.048754,0.068949,0.048754,0.068949,25.000000,0.002600000,0.000019,0.110877,0.110895
157.000000,2776.374712,2776.374712,0.000000,7.290241,10.309958,7.290241,10.309958,25.000000,0.002600000,0.414551,16.579386,16.993938
158.000000,5864.252126,5864.252126,0.000000,15.398430,21.776669,15.398430,21.776669,25.000000,0.002600000,1.849471,35.018940,36.868411
159.000000,9046.719669,9046.719669,0.000000,23.754995,33.594636,23.754995,33.594636,25.000000,0.002600000,4.401538,54.023348,58.424887
160.000000,10902.208486,10902.208486,0.000000,28.627162,40.484920,28.627162,40.484920,25.000000,0.002600000,6.392212,65.103577,71.495789
161.000000,11255.042743,11255.042743,0.000000,29.553639,41.795157,29.553639,41.795157,25.000000,0.002600000,6.812657,67.210560,74.023217
162.000000,9894.644718,9894.644718,0.000000,25.981488,36.743372,25.981488,36.743372,25.000000,0.002600000,5.265294,59.086814,64.352108
163.000000,10301.288507,10301.288507,0.000000,27.049258,38.253428,27.049258,38.253428,25.000000,0.002600000,5.706966,61.515126,67.222092
164.000000,9882.244408,9882.244408,0.000000,25.948927,36.697324,25.948927,36.697324,25.000000,0.002600000,5.252105,59.012764,64.264869
165.000000,8254.570701,8254.570701,0.000000,21.674960,30.653022,21.674960,30.653022,25.000000,0.002600000,3.664470,49.292955,52.957426
