# source=UNECE WLTP-DHC-12-07e official workbook
# source_workbook=C:\Projects\SiCTransistorModelDriveCycles\sim\src\drive_cycles\wltp_data\WLTP-DHC-12-07e.xls
# cycle=WLTC Class 3
# test_mode=prescribed_speed_flat_grade
time_s,v_mps,grade_deg
258.0,4.277777778,0.0
259.0,4.972222222,0.0
260.0,5.722222222,0.0
261.0,6.444444444,0.0
262.0,7.138888889,0.0
263.0,7.972222222,0.0
264.0,9.027777778,0.0
265.0,10.027777778,0.0
266.0,10.833333333,0.0
267.0,11.333333333,0.0
268.0,11.916666667,0.0
269.0,12.333333333,0.0
270.0,12.750000000,0.0
271.0,12.777777778,0.0
272.0,12.666666667,0.0
273.0,12.583333333,0.0
274.0,12.138888889,0.0
275.0,11.333333333,0.0
276.0,10.555555556,0.0
277.0,9.555555556,0.0
278.0,8.583333333,0.0
279.0,7.083333333,0.0
280.0,5.944444444,0.0
281.0,5.611111111,0.0
282.0,6.361111111,0.0
283.0,7.388888889,0.0
284.0,8.388888889,0.0
285.0,9.472222222,0.0
286.0,10.388888889,0.0
287.0,11.305555556,0.0
288.0,12.222222222,0.0
289.0,13.138888889,0.0
290.0,13.666666667,0.0
291.0,13.833333333,0.0
292.0,13.666666667,0.0
293.0,13.361111111,0.0
294.0,13.138888889,0.0
295.0,13.000000000,0.0
296.0,12.972222222,0.0
297.0,13.000000000,0.0
298.0,13.083333333,0.0
299.0,13.138888889,0.0
300.0,13.138888889,0.0
301.0,13.083333333,0.0
302.0,12.944444444,0.0
303.0,12.722222222,0.0
304.0,12.444444444,0.0
305.0,12.027777778,0.0
306.0,11.611111111,0.0
307.0,11.333333333,0.0
308.0,11.194444444,0.0
309.0,11.138888889,0.0
310.0,11.027777778,0.0
311.0,10.888888889,0.0
312.0,10.694444444,0.0
313.0,10.388888889,0.0
314.0,10.000000000,0.0
315.0,9.555555556,0.0
316.0,9.166666667,0.0
317.0,8.805555556,0.0
318.0,8.333333333,0.0
319.0,7.777777778,0.0
320.0,7.250000000,0.0
321.0,7.111111111,0.0
322.0,6.916666667,0.0
323.0,6.916666667,0.0
324.0,6.750000000,0.0
325.0,6.638888889,0.0
326.0,6.638888889,0.0
327.0,6.555555556,0.0
328.0,6.472222222,0.0
329.0,5.694444444,0.0
330.0,4.861111111,0.0
331.0,4.694444444,0.0
332.0,4.638888889,0.0
333.0,4.416666667,0.0
334.0,4.333333333,0.0
335.0,4.166666667,0.0
336.0,4.027777778,0.0
337.0,3.972222222,0.0
338.0,4.027777778,0.0
339.0,4.277777778,0.0
340.0,4.944444444,0.0
341.0,5.861111111,0.0
342.0,6.694444444,0.0
343.0,6.944444444,0.0
344.0,7.027777778,0.0
345.0,7.083333333,0.0
346.0,7.333333333,0.0
347.0,7.388888889,0.0
348.0,7.527777778,0.0
349.0,7.694444444,0.0
350.0,7.805555556,0.0
351.0,7.833333333,0.0
352.0,7.805555556,0.0
353.0,7.777777778,0.0
354.0,7.750000000,0.0
355.0,7.750000000,0.0
356.0,7.805555556,0.0
357.0,7.833333333,0.0
358.0,7.777777778,0.0
359.0,7.472222222,0.0
360.0,6.944444444,0.0
361.0,6.444444444,0.0
362.0,6.083333333,0.0
363.0,5.861111111,0.0
364.0,5.750000000,0.0
365.0,5.750000000,0.0
366.0,5.777777778,0.0
367.0,5.888888889,0.0
368.0,6.138888889,0.0
369.0,6.527777778,0.0
370.0,6.750000000,0.0
371.0,6.805555556,0.0
372.0,6.611111111,0.0
373.0,5.916666667,0.0
374.0,4.916666667,0.0
375.0,4.000000000,0.0
376.0,3.305555556,0.0
377.0,2.833333333,0.0
378.0,2.472222222,0.0
379.0,2.222222222,0.0
380.0,2.000000000,0.0
381.0,1.694444444,0.0
382.0,1.361111111,0.0
383.0,1.027777778,0.0
384.0,0.638888889,0.0
385.0,0.250000000,0.0
386.0,0.000000000,0.0
387.0,0.000000000,0.0
388.0,0.000000000,0.0
389.0,0.000000000,0.0
390.0,0.000000000,0.0
391.0,0.000000000,0.0
392.0,0.138888889,0.0
393.0,0.583333333,0.0
394.0,1.333333333,0.0
395.0,2.305555556,0.0
396.0,3.416666667,0.0
397.0,4.611111111,0.0
398.0,5.805555556,0.0
399.0,6.722222222,0.0
400.0,7.111111111,0.0
401.0,7.111111111,0.0
402.0,6.916666667,0.0
403.0,6.472222222,0.0
404.0,6.000000000,0.0
405.0,5.611111111,0.0
406.0,5.194444444,0.0
407.0,4.722222222,0.0
408.0,4.250000000,0.0
409.0,3.944444444,0.0
410.0,3.861111111,0.0
411.0,3.888888889,0.0
412.0,3.944444444,0.0
413.0,4.027777778,0.0
414.0,4.138888889,0.0
415.0,4.416666667,0.0
416.0,4.833333333,0.0
417.0,5.194444444,0.0
418.0,5.305555556,0.0
419.0,5.222222222,0.0
420.0,4.888888889,0.0
421.0,4.611111111,0.0
422.0,4.500000000,0.0
423.0,4.555555556,0.0
424.0,4.777777778,0.0
425.0,5.305555556,0.0
426.0,6.277777778,0.0
427.0,7.611111111,0.0
428.0,8.777777778,0.0
429.0,9.277777778,0.0
430.0,9.305555556,0.0
431.0,9.111111111,0.0
432.0,8.861111111,0.0
433.0,8.694444444,0.0
434.0,8.638888889,0.0
435.0,8.500000000,0.0
436.0,8.111111111,0.0
437.0,7.416666667,0.0
438.0,6.388888889,0.0
439.0,5.055555556,0.0
440.0,3.583333333,0.0
441.0,2.138888889,0.0
442.0,1.055555556,0.0
443.0,0.361111111,0.0
444.0,0.055555556,0.0
445.0,0.000000000,0.0
446.0,0.000000000,0.0
447.0,0.000000000,0.0
448.0,0.000000000,0.0
449.0,0.000000000,0.0
450.0,0.000000000,0.0
451.0,0.000000000,0.0
452.0,0.000000000,0.0
453.0,0.000000000,0.0
454.0,0.000000000,0.0
455.0,0.000000000,0.0
456.0,0.000000000,0.0
457.0,0.000000000,0.0
458.0,0.000000000,0.0
459.0,0.000000000,0.0
460.0,0.000000000,0.0
461.0,0.000000000,0.0
462.0,0.000000000,0.0
463.0,0.000000000,0.0
464.0,0.000000000,0.0
465.0,0.000000000,0.0
466.0,0.000000000,0.0
467.0,0.000000000,0.0
468.0,0.000000000,0.0
469.0,0.000000000,0.0
470.0,0.000000000,0.0
471.0,0.000000000,0.0
472.0,0.000000000,0.0
473.0,0.000000000,0.0
474.0,0.000000000,0.0
475.0,0.000000000,0.0
476.0,0.000000000,0.0
477.0,0.000000000,0.0
478.0,0.000000000,0.0
479.0,0.000000000,0.0
480.0,0.000000000,0.0
481.0,0.000000000,0.0
482.0,0.000000000,0.0
483.0,0.000000000,0.0
484.0,0.000000000,0.0
485.0,0.000000000,0.0
486.0,0.000000000,0.0
487.0,0.000000000,0.0
488.0,0.000000000,0.0
489.0,0.000000000,0.0
