# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# distance_km=23.262388889
# traction_energy_kwh=3.595816634
# recovered_energy_kwh=0.890225399
# base_auxiliary_energy_kwh=0.150000000
# hvac_energy_kwh=0.000000000
# total_auxiliary_energy_kwh=0.150000000
# net_battery_energy_kwh=2.855591235
time_s,v_mps,accel_mps2,grade_deg,force_inertial_n,force_rolling_n,force_aero_n,force_grade_n,force_total_n,wheel_power_w,dc_power_w,auxiliary_power_w,battery_power_w,friction_brake_power_w
105.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
106.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
107.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
108.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
109.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
110.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
111.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
112.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
113.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
114.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
115.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
116.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
117.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
118.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
119.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
120.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
121.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
122.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
123.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
